"title","video_url","duration","thumbnail_url","channel_name","channel_url","relative_date","estimated_date"
"Misconceptions About Olympic Sports | Mental Floss","https://www.youtube.com/watch?v=Zid7jONyOOw","11:08","https://i.ytimg.com/vi/Zid7jONyOOw/hqdefault.jpg","Mental Floss","https://www.youtube.com/@MentalFloss","1y ago",""
"What happens in your body during a miscarriage? - Nassim Assefi and Emily M. Godfrey","https://www.youtube.com/watch?v=fKja0y17vt4","5:43","https://i.ytimg.com/vi/fKja0y17vt4/hqdefault.jpg","TED-Ed","https://www.youtube.com/@TEDEd","1y ago",""
"How do doctors determine what stage of cancer you have? - Hyunsoo Joshua No and Trudy Wu","https://www.youtube.com/watch?v=qwCBEgjUluU","5:29","https://i.ytimg.com/vi/qwCBEgjUluU/hqdefault.jpg","TED-Ed","https://www.youtube.com/@TEDEd","1y ago",""
"Are headphones destroying our hearing?","https://www.youtube.com/watch?v=TXk8CoMdxD8","6:49","https://i.ytimg.com/vi/TXk8CoMdxD8/hqdefault.jpg","Vox","https://www.youtube.com/@Vox","1y ago",""
"HOT ONES : Ciryl Gane se fait éteindre par Captain Lethal","https://www.youtube.com/watch?v=nYjlAWDPS7U","33:41","https://i.ytimg.com/vi/nYjlAWDPS7U/hqdefault.jpg","Studio Bagel","https://www.youtube.com/@StudioBagel","1y ago",""
"Sean Evans Interviews Himself While Eating Spicy Wings | Hot Ones","https://www.youtube.com/watch?v=Agy15zPUn7c","7:26","https://i.ytimg.com/vi/Agy15zPUn7c/hqdefault.jpg","First We Feast","https://www.youtube.com/@FirstWeFeast","1y ago",""
"What really happened to Oedipus? - Stephen Esposito","https://www.youtube.com/watch?v=0a9Wuz7MvUE","5:37","https://i.ytimg.com/vi/0a9Wuz7MvUE/hqdefault.jpg","TED-Ed","https://www.youtube.com/@TEDEd","2y ago",""
"17 Wild Animal Superlatives | Mental Floss","https://www.youtube.com/watch?v=KwPr8ZaIAZQ","7:58","https://i.ytimg.com/vi/KwPr8ZaIAZQ/hqdefault.jpg","Mental Floss","https://www.youtube.com/@MentalFloss","2y ago",""
"One surgeon's obsession with head transplants - Max G. Levy","https://www.youtube.com/watch?v=D8TapCbDemk","5:31","https://i.ytimg.com/vi/D8TapCbDemk/hqdefault.jpg","TED-Ed","https://www.youtube.com/@TEDEd","2y ago",""
"Misconceptions about Congress | Mental Floss","https://www.youtube.com/watch?v=kzrzxyiHBOw","10:15","https://i.ytimg.com/vi/kzrzxyiHBOw/hqdefault.jpg","Mental Floss","https://www.youtube.com/@MentalFloss","2y ago",""
"How screens actually affect your sleep","https://www.youtube.com/watch?v=isPxdnIND5k","6:39","https://i.ytimg.com/vi/isPxdnIND5k/hqdefault.jpg","Vox","https://www.youtube.com/@Vox","2y ago",""
"Rent is Free in South Korea. What’s the Catch?","https://www.youtube.com/watch?v=X7_OfANCuVg","16:25","https://i.ytimg.com/vi/X7_OfANCuVg/hqdefault.jpg","PolyMatter","https://www.youtube.com/@PolyMatter","2y ago",""
"Misconceptions About Journalism | Mental Floss","https://www.youtube.com/watch?v=9svD9ckBTyU","11:57","https://i.ytimg.com/vi/9svD9ckBTyU/hqdefault.jpg","Mental Floss","https://www.youtube.com/@MentalFloss","2y ago",""
"Why it’s hard for Americans to retire","https://www.youtube.com/watch?v=ZT9NpPe0wRg","9:28","https://i.ytimg.com/vi/ZT9NpPe0wRg/hqdefault.jpg","Vox","https://www.youtube.com/@Vox","2y ago",""
"What causes addiction, and why is it so hard to treat? - Judy Grisel","https://www.youtube.com/watch?v=hBC7i-vHWsU","5:43","https://i.ytimg.com/vi/hBC7i-vHWsU/hqdefault.jpg","TED-Ed","https://www.youtube.com/@TEDEd","2y ago",""
"How Jane Austen Changed Fiction Forever","https://www.youtube.com/watch?v=nvaZwwhmX6Y","5:46","https://i.ytimg.com/vi/nvaZwwhmX6Y/hqdefault.jpg","Nerdwriter1","https://www.youtube.com/@Nerdwriter1","2y ago",""
"How French Cinema Works","https://www.youtube.com/watch?v=0cumzf_Q4u8","9:53","https://i.ytimg.com/vi/0cumzf_Q4u8/hqdefault.jpg","Nerdwriter1","https://www.youtube.com/@Nerdwriter1","2y ago",""
